Item,Price (INR),Category,Subcategory,date,quantity,City,branch,amount,profit
Americano,200,Beverage,Other,01-01-2023,8,Indore,CAFE 3,1600,880.0000000000001
Apple Juice,150,Beverage,Juice,02-01-2023,3,Indore,CAFE 1,450,247.50000000000003
Black Tea,100,Beverage,Tea,03-01-2023,7,Pune,CAFE 3,700,385.00000000000006
Bottled Water,80,Beverage,Other,04-01-2023,4,Delhi,CAFE 1,320,176.0
Cappuccino,250,Beverage,Other,05-01-2023,5,Pune,CAFE 3,1250,687.5
Chai Latte,200,Beverage,Tea,06-01-2023,8,Delhi,CAFE 1,1600,880.0000000000001
Coconut Water,150,Beverage,Other,07-01-2023,2,Indore,CAFE 2,300,165.0
Cola,80,Beverage,Soda,08-01-2023,6,Bangalore,CAFE 1,480,264.0
Cold Brew,220,Beverage,Iced Drinks,09-01-2023,6,Pune,CAFE 2,1320,726.0000000000001
Diet Cola,80,Beverage,Soda,10-01-2023,5,Indore,CAFE 1,400,220.00000000000003
Energy Drink,150,Beverage,Soda,11-01-2023,3,Delhi,CAFE 2,450,247.50000000000003
Espresso,150,Beverage,Other,12-01-2023,3,Delhi,CAFE 1,450,247.50000000000003
Flat White,230,Beverage,Other,13-01-2023,2,Bangalore,CAFE 2,460,253.00000000000003
Ginger Ale,100,Beverage,Other,14-01-2023,4,Delhi,CAFE 1,400,220.00000000000003
Grapefruit Juice,150,Beverage,Juice,15-01-2023,4,Pune,CAFE 3,600,330.0
Green Tea,100,Beverage,Tea,16-01-2023,5,Indore,CAFE 1,500,275.0
Herbal Tea,100,Beverage,Tea,17-01-2023,4,Bangalore,CAFE 2,400,220.00000000000003
Hot Chocolate,220,Beverage,Other,18-01-2023,10,Pune,CAFE 1,2200,1210.0
Iced Coffee,200,Beverage,Coffee,19-01-2023,4,Bangalore,CAFE 3,800,440.00000000000006
Iced Tea,150,Beverage,Tea,20-01-2023,5,Indore,CAFE 3,750,412.50000000000006
Latte,250,Beverage,Other,21-01-2023,1,Delhi,CAFE 2,250,137.5
Lemon Lime Soda,80,Beverage,Soda,22-01-2023,8,Bangalore,CAFE 1,640,352.0
Lemonade,150,Beverage,Other,23-01-2023,3,Pune,CAFE 3,450,247.50000000000003
Matcha Latte,300,Beverage,Other,24-01-2023,1,Delhi,CAFE 3,300,165.0
Milkshake,200,Beverage,Ice Creams,25-01-2023,1,Bangalore,CAFE 1,200,110.00000000000001
Mocha,250,Beverage,Other,26-01-2023,5,Delhi,CAFE 2,1250,687.5
Orange Juice,150,Beverage,Juice,27-01-2023,4,Bangalore,CAFE 1,600,330.0
Root Beer,100,Beverage,Other,28-01-2023,7,Pune,CAFE 2,700,385.00000000000006
Smoothie,140,Beverage,Smoothies,29-01-2023,5,Delhi,CAFE 1,700,385.00000000000006
Sparkling Water,400,Beverage,Other,30-01-2023,3,Indore,CAFE 2,1200,660.0
Bagel,80,Beverage,Pastries,31-01-2023,10,Delhi,CAFE 1,800,440.00000000000006
Biscuit,50,Beverage,Other,01-02-2023,5,Bangalore,CAFE 1,250,137.5
Brownie,120,Beverage,Desserts,02-02-2023,5,Bangalore,CAFE 3,600,330.0
Burger (Beef),250,Food,Burger,03-02-2023,8,Pune,CAFE 1,2000,1200.0
Burger (Chicken),220,Food,Burger,04-02-2023,8,Bangalore,CAFE 3,1760,1056.0
Burger (Veggie),200,Food,Burger,05-02-2023,6,Indore,CAFE 2,1200,720.0
Burrito (Bean),180,Food,Other,06-02-2023,8,Indore,CAFE 1,1440,864.0
Burrito (Chicken),220,Food,Other,07-02-2023,4,Indore,CAFE 3,880,528.0
Cheesecake,200,Beverage,Desserts,08-02-2023,2,Bangalore,CAFE 2,400,220.00000000000003
